4.915e+05,-1.9914,1.909,-3.7358,-135.98,-30.366,-109.04,-0.77079,0.90826,1.5234,0.51453,0.48819,0.49693,0.49998
4.9151e+05,-2.1651,0.24541,-3.8144,-96.615,-33.766,-116.18,-0.83745,0.94105,1.523,0.5269,0.47878,0.49671,0.4964
4.9153e+05,-3.9964,-0.74407,-1.8787,-33.592,-37.864,-123.8,-0.87589,0.88686,1.4781,0.53559,0.47361,0.5014,0.48727
4.9155e+05,-9.3023,-0.7384,-0.52209,23.915,-25.757,-130.67,-0.95917,0.95249,1.4725,0.54014,0.47086,0.5121,0.47359
4.9156e+05,-21.191,1.6494,4.2263,74.094,-0.17303,-153.43,-0.976,0.93593,1.4886,0.54161,0.46715,0.53094,0.45447
4.9158e+05,-24.774,8.2084,7.4006,-36.577,-20.598,-137.34,-1.025,0.87682,1.3886,0.55088,0.45653,0.54037,0.44285
4.9159e+05,-20.19,4.8392,0.71396,-42.453,23.682,-176.16,-1.1472,0.91514,1.3823,0.55922,0.43958,0.55456,0.43187
4.9161e+05,-24.562,6.7943,0.82232,-69.282,43.22,-205.45,-1.1641,0.92579,1.4097,0.56952,0.41606,0.57025,0.42113
4.9162e+05,-24.676,5.0507,5.1893,43.64,7.3282,-210.33,-1.2307,0.97509,1.3985,0.57544,0.40263,0.58993,0.39842
4.9164e+05,-20.562,7.9953,5.2117,17.313,20.763,-155.65,-1.2695,1.0025,1.3929,0.57824,0.39041,0.60543,0.38296
4.9166e+05,-19.821,6.5943,2.675,-66.621,45.136,-122.02,-1.3086,1.0514,1.415,0.58153,0.37269,0.61627,0.37833
4.9167e+05,-18.306,3.9691,0.44699,-124.15,44.579,-95.381,-1.3311,1.073,1.448,0.58605,0.35257,0.62236,0.38066
4.9169e+05,-15.432,2.5131,-0.47859,-150.62,58.79,-74.587,-1.3595,1.1216,1.5031,0.58911,0.33143,0.62667,0.3878
4.917e+05,-10.949,-3.0827,0.93197,-69.667,41.957,-58.414,-1.3267,1.2085,1.5593,0.58803,0.32008,0.63288,0.3889
4.9172e+05,-5.0258,-7.2235,0.45582,-49.304,66.291,-33.769,-1.3381,1.2191,1.5867,0.58205,0.31202,0.64037,0.39217
4.9173e+05,-0.92034,-15.17,4.0078,103.73,78.308,9.9239,-1.3434,1.2357,1.5649,0.56503,0.32031,0.65481,0.38648
4.9175e+05,1.0432,-14.308,2.9276,140.68,19.828,36.944,-1.327,1.2737,1.5929,0.54999,0.33674,0.6648,0.37704
4.9176e+05,2.2965,-12.958,-0.74516,146.36,23.013,58.17,-1.3601,1.192,1.5643,0.53316,0.35483,0.67362,0.36889
4.9178e+05,1.1813,-2.8006,-5.5102,68.973,18.221,78.225,-1.2877,1.1922,1.543,0.52053,0.3681,0.67651,0.36863
4.918e+05,-1.7794,4.7825,-11.356,-142.24,22.154,105.8,-1.2378,1.1757,1.5598,0.5178,0.36762,0.66691,0.38983
4.9181e+05,-2.0382,7.1997,-9.9604,-147.86,23.497,72.04,-1.1995,1.1477,1.6204,0.51681,0.36349,0.65845,0.40893
4.9183e+05,-0.40366,7.3155,5.3944,204.09,31.694,24.847,-1.1828,1.1806,1.6099,0.49845,0.38017,0.67319,0.39221
4.9184e+05,-2.6823,13.594,18.615,121.92,18.37,-3.2888,-1.1878,1.132,1.5544,0.48633,0.38888,0.68441,0.37927
4.9186e+05,-3.5763,5.731,8.8649,215.54,10.404,-24.976,-1.1763,1.1269,1.5215,0.47059,0.40198,0.70031,0.3557
4.9187e+05,-3.6041,2.8564,-0.091814,182.99,-71.163,-41.182,-1.1981,1.0891,1.4769,0.46504,0.41474,0.70919,0.32982
4.9189e+05,-7.7335,-1.6365,-24.805,46.213,-26.34,-56.151,-1.2365,1.0786,1.4325,0.46602,0.41379,0.71353,0.32012
4.9191e+05,-17.646,8.9312,24.178,310.01,-53.899,-48.553,-1.2414,1.0519,1.3662,0.4507,0.43143,0.72976,0.27962
4.9192e+05,-19.361,5.1732,-0.53947,-164.55,-13.402,-34.184,-1.2685,0.97061,1.2992,0.45935,0.4183,0.72808,0.28969
4.9194e+05,-18.38,-15.962,-2.8976,6.0789,-51.879,23.162,-1.2689,1.0194,1.3382,0.45748,0.42433,0.72779,0.28457
4.9195e+05,-16.682,2.8241,2.1144,-10.829,-49.288,100.68,-1.3021,0.98133,1.321,0.45485,0.43592,0.72208,0.2858
4.9197e+05,-16.203,-3.3535,7.0936,-31.779,-29.536,117.88,-1.2684,0.99258,1.2885,0.44984,0.44751,0.71594,0.29122
4.9198e+05,-21.654,-2.4789,5.7587,-34.398,-17.851,147.52,-1.2355,0.94843,1.3323,0.44309,0.46086,0.70858,0.29866
