Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL
milliseconds	m/(s^2)	m/(s^2)	m/(s^2)	degrees/s	degrees/s	degrees/s	local flux	local flux	local flux	normalised quaternion	normalised quaternion	normalised quaternion	normalised quaternion
112253.8757324219	-6.565217391304348	2.41304347826087	2.945652173913044	0.9923664122137405	0.9618320610687022	-3.297709923664122	-1.856071964017991	1.133433283358321	-0.5217391304347826	0.5030585249501434	0.4941794893734466	0.5051616095068112	0.497524372305592
112273.4069824219	-6.543478260869565	2.380434782608696	2.967391304347826	0.732824427480916	0.6717557251908397	-3.251908396946565	-1.868065967016492	1.139430284857571	-0.5172413793103449	0.5061597433871955	0.488292237011858	0.5102390863704667	0.4950041213848582
112292.9382324219	-6.565217391304348	2.33695652173913	2.967391304347826	1.053435114503817	0.8854961832061068	-2.977099236641221	-1.859070464767616	1.134932533733133	-0.5187406296851574	0.5091796917139889	0.4823839218427892	0.5153273482413272	0.4924220929732731
112312.4694824219	-6.58695652173913	2.326086956521739	2.945652173913044	1.053435114503817	0.8091603053435115	-3.221374045801527	-1.848575712143928	1.145427286356822	-0.5142428785607196	0.5122232217233965	0.4764049457398145	0.5204431391855366	0.4896985171272758
112332.0007324219	-6.58695652173913	2.402173913043478	2.956521739130435	1.206106870229008	0.7175572519083969	-3.511450381679389	-1.860569715142429	1.131934032983508	-0.5217391304347826	0.5152659083717215	0.4703260928069991	0.5255849505305261	0.4868828091754641
112351.5319824219	-6.565217391304348	2.402173913043478	2.967391304347826	0.7938931297709924	1.053435114503817	-3.435114503816794	-1.853073463268366	1.136431784107946	-0.5187406296851574	0.5183042617389068	0.4641222686543725	0.5306912423037693	0.484064063264861
112371.0632324219	-6.565217391304348	2.347826086956522	2.956521739130435	1.114503816793893	0.9923664122137405	-3.068702290076336	-1.841079460269865	1.139430284857571	-0.5187406296851574	0.5212825163886092	0.4579384905382374	0.5357693561024929	0.4811528593416445
112390.5944824219	-6.576086956521739	2.347826086956522	2.945652173913044	0.9770992366412213	0.5954198473282443	-3.16030534351145	-1.856071964017991	1.140929535232384	-0.5157421289355322	0.5242996537638641	0.451693316377328	0.5407976046087674	0.4781432545300232
